act,scene,character,dialogue,line_number
Act I,Scene II,Lucio,the dukes fall upon the king.,92
Act I,Scene II,First Gentleman,"Heaven grant us its peace, but not the King of",93
Act I,Scene II,First Gentleman,Hungary's!,94
Act I,Scene II,Second Gentleman,Amen.,95
Act I,Scene II,Lucio,"Thou concludest like the sanctimonious pirate, that",96
Act I,Scene II,Lucio,"went to sea with the Ten Commandments, but scraped",97
Act I,Scene II,Lucio,one out of the table.,98
Act I,Scene II,Second Gentleman,'Thou shalt not steal'?,99
Act I,Scene II,Lucio,"Ay, that he razed.",100
Act I,Scene II,First Gentleman,"Why, 'twas a commandment to command the captain and",101
Act I,Scene II,First Gentleman,all the rest from their functions: they put forth,102
Act I,Scene II,First Gentleman,"to steal. There's not a soldier of us all, that, in",103
Act I,Scene II,First Gentleman,"the thanksgiving before meat, do relish the petition",104
Act I,Scene II,First Gentleman,well that prays for peace.,105
Act I,Scene II,Second Gentleman,I never heard any soldier dislike it.,106
Act I,Scene II,Lucio,I believe thee; for I think thou never wast where,107
Act I,Scene II,Lucio,grace was said.,108
Act I,Scene II,Second Gentleman,No? a dozen times at least.,109
Act I,Scene II,First Gentleman,"What, in metre?",110
Act I,Scene II,Lucio,In any proportion or in any language.,111
Act I,Scene II,First Gentleman,"I think, or in any religion.",112
Act I,Scene II,Lucio,"Ay, why not? Grace is grace, despite of all",113
Act I,Scene II,Lucio,"controversy: as, for example, thou thyself art a",114
Act I,Scene II,Lucio,"wicked villain, despite of all grace.",115
Act I,Scene II,First Gentleman,"Well, there went but a pair of shears between us.",116
Act I,Scene II,Lucio,I grant; as there may between the lists and the,117
Act I,Scene II,Lucio,velvet. Thou art the list.,118
Act I,Scene II,First Gentleman,And thou the velvet: thou art good velvet; thou'rt,119
Act I,Scene II,First Gentleman,"a three-piled piece, I warrant thee: I had as lief",120
Act I,Scene II,First Gentleman,"be a list of an English kersey as be piled, as thou",121
Act I,Scene II,First Gentleman,"art piled, for a French velvet. Do I speak",122
Act I,Scene II,First Gentleman,feelingly now?,123
Act I,Scene II,Lucio,"I think thou dost; and, indeed, with most painful",124
Act I,Scene II,Lucio,"feeling of thy speech: I will, out of thine own",125
Act I,Scene II,Lucio,"confession, learn to begin thy health; but, whilst I",126
Act I,Scene II,Lucio,"live, forget to drink after thee.",127
Act I,Scene II,First Gentleman,"I think I have done myself wrong, have I not?",128
Act I,Scene II,Second Gentleman,"Yes, that thou hast, whether thou art tainted or free.",129
Act I,Scene II,Lucio,"Behold, behold. where Madam Mitigation comes! I",130
Act I,Scene II,Lucio,have purchased as many diseases under her roof as come to--,131
Act I,Scene II,Second Gentleman,"To what, I pray?",132
Act I,Scene II,Lucio,Judge.,133
Act I,Scene II,Second Gentleman,To three thousand dolours a year.,134
Act I,Scene II,First Gentleman,"Ay, and more.",135
Act I,Scene II,Lucio,A French crown more.,136
Act I,Scene II,First Gentleman,Thou art always figuring diseases in me; but thou,137
Act I,Scene II,First Gentleman,art full of error; I am sound.,138
Act I,Scene II,Lucio,"Nay, not as one would say, healthy; but so sound as",139
Act I,Scene II,Lucio,things that are hollow: thy bones are hollow;,140
Act I,Scene II,Lucio,impiety has made a feast of thee.,141
Act I,Scene II,[stage direction],Enter MISTRESS OVERDONE,NA
Act I,Scene II,First Gentleman,How now! which of your hips has the most profound sciatica?,142
Act I,Scene II,Mistress Overdone,"Well, well; there's one yonder arrested and carried",143
Act I,Scene II,Mistress Overdone,to prison was worth five thousand of you all.,144
Act I,Scene II,Second Gentleman,"Who's that, I pray thee?",145
Act I,Scene II,Mistress Overdone,"Marry, sir, that's Claudio, Signior Claudio.",146
Act I,Scene II,First Gentleman,Claudio to prison? 'tis not so.,147
Act I,Scene II,Mistress Overdone,"Nay, but I know 'tis so: I saw him arrested, saw",148
Act I,Scene II,Mistress Overdone,"him carried away; and, which is more, within these",149
Act I,Scene II,Mistress Overdone,three days his head to be chopped off.,150
Act I,Scene II,Lucio,"But, after all this fooling, I would not have it so.",151
Act I,Scene II,Lucio,Art thou sure of this?,152
Act I,Scene II,Mistress Overdone,I am too sure of it: and it is for getting Madam,153
Act I,Scene II,Mistress Overdone,Julietta with child.,154
Act I,Scene II,Lucio,"Believe me, this may be: he promised to meet me two",155
Act I,Scene II,Lucio,"hours since, and he was ever precise in",156
Act I,Scene II,Lucio,promise-keeping.,157
Act I,Scene II,Second Gentleman,"Besides, you know, it draws something near to the",158
Act I,Scene II,Second Gentleman,speech we had to such a purpose.,159
Act I,Scene II,First Gentleman,"But, most of all, agreeing with the proclamation.",160
Act I,Scene II,Lucio,Away! let's go learn the truth of it.,161
Act I,Scene II,[stage direction],Exeunt LUCIO and Gentlemen,NA
Act I,Scene II,Mistress Overdone,"Thus, what with the war, what with the sweat, what",162
Act I,Scene II,Mistress Overdone,"with the gallows and what with poverty, I am",163
Act I,Scene II,Mistress Overdone,custom-shrunk.,164
Act I,Scene II,[stage direction],Enter POMPEY,NA
Act I,Scene II,Mistress Overdone,How now! what's the news with you?,165
Act I,Scene II,Pompey,Yonder man is carried to prison.,166
Act I,Scene II,Mistress Overdone,Well; what has he done?,167
Act I,Scene II,Pompey,A woman.,168
Act I,Scene II,Mistress Overdone,But what's his offence?,169
Act I,Scene II,Pompey,Groping for trouts in a peculiar river.,170
Act I,Scene II,Mistress Overdone,"What, is there a maid with child by him?",171
Act I,Scene II,Pompey,"No, but there's a woman with maid by him. You have",172
Act I,Scene II,Pompey,"not heard of the proclamation, have you?",173
Act I,Scene II,Mistress Overdone,"What proclamation, man?",174
Act I,Scene II,Pompey,All houses in the suburbs of Vienna must be plucked down.,175
Act I,Scene II,Mistress Overdone,And what shall become of those in the city?,176
Act I,Scene II,Pompey,"They shall stand for seed: they had gone down too,",177
Act I,Scene II,Pompey,but that a wise burgher put in for them.,178
Act I,Scene II,Mistress Overdone,But shall all our houses of resort in the suburbs be,179
Act I,Scene II,Mistress Overdone,pulled down?,180
Act I,Scene II,Pompey,"To the ground, mistress.",181
Act I,Scene II,Mistress Overdone,"Why, here's a change indeed in the commonwealth!",182
Act I,Scene II,Mistress Overdone,What shall become of me?,183
Act I,Scene II,Pompey,Come; fear you not: good counsellors lack no,184
Act I,Scene II,Pompey,"clients: though you change your place, you need not",185
Act I,Scene II,Pompey,change your trade; I'll be your tapster still.,186
Act I,Scene II,Pompey,Courage! there will be pity taken on you: you that,187
Act I,Scene II,Pompey,"have worn your eyes almost out in the service, you",188
Act I,Scene II,Pompey,will be considered.,189
Act I,Scene II,Mistress Overdone,"What's to do here, Thomas tapster? let's withdraw.",190
Act I,Scene II,Pompey,"Here comes Signior Claudio, led by the provost to",191
Act I,Scene II,Pompey,prison; and there's Madam Juliet.,192
Act I,Scene II,[stage direction],Exeunt,NA
Act I,Scene II,[stage direction],"Enter Provost, CLAUDIO, JULIET, and Officers",NA
Act I,Scene II,Claudio,"Fellow, why dost thou show me thus to the world?",193
Act I,Scene II,Claudio,"Bear me to prison, where I am committed.",194
Act I,Scene II,Provost,"I do it not in evil disposition,",195
Act I,Scene II,Provost,But from Lord Angelo by special charge.,196
Act I,Scene II,Claudio,Thus can the demigod Authority,197
Act I,Scene II,Claudio,Make us pay down for our offence by weight,198
Act I,Scene II,Claudio,"The words of heaven; on whom it will, it will;",199
Act I,Scene II,Claudio,"On whom it will not, so; yet still 'tis just.",200
Act I,Scene II,[stage direction],Re-enter LUCIO and two Gentlemen,NA
Act I,Scene II,Lucio,"Why, how now, Claudio! whence comes this restraint?",201
Act I,Scene II,Claudio,"From too much liberty, my Lucio, liberty:",202
Act I,Scene II,Claudio,"As surfeit is the father of much fast,",203
Act I,Scene II,Claudio,So every scope by the immoderate use,204
Act I,Scene II,Claudio,"Turns to restraint. Our natures do pursue,",205
Act I,Scene II,Claudio,"Like rats that ravin down their proper bane,",206
Act I,Scene II,Claudio,A thirsty evil; and when we drink we die.,207
Act I,Scene II,Lucio,"If could speak so wisely under an arrest, I would",208
Act I,Scene II,Lucio,"send for certain of my creditors: and yet, to say",209
Act I,Scene II,Lucio,"the truth, I had as lief have the foppery of freedom",210
Act I,Scene II,Lucio,as the morality of imprisonment. What's thy,211
Act I,Scene II,Lucio,"offence, Claudio?",212
Act I,Scene II,Claudio,What but to speak of would offend again.,213
Act I,Scene II,Lucio,"What, is't murder?",214
Act I,Scene II,Claudio,No.,215
Act I,Scene II,Lucio,Lechery?,216
Act I,Scene II,Claudio,Call it so.,217
Act I,Scene II,Provost,"Away, sir! you must go.",218
Act I,Scene II,Claudio,"One word, good friend. Lucio, a word with you.",219
Act I,Scene II,Lucio,"A hundred, if they'll do you any good.",220
Act I,Scene II,Lucio,Is lechery so look'd after?,221
Act I,Scene II,Claudio,Thus stands it with me: upon a true contract,222
Act I,Scene II,Claudio,I got possession of Julietta's bed:,223
Act I,Scene II,Claudio,"You know the lady; she is fast my wife,",224
Act I,Scene II,Claudio,Save that we do the denunciation lack,225
Act I,Scene II,Claudio,"Of outward order: this we came not to,",226
Act I,Scene II,Claudio,Only for propagation of a dower,227
Act I,Scene II,Claudio,"Remaining in the coffer of her friends,",228
Act I,Scene II,Claudio,From whom we thought it meet to hide our love,229
Act I,Scene II,Claudio,Till time had made them for us. But it chances,230
Act I,Scene II,Claudio,The stealth of our most mutual entertainment,231
Act I,Scene II,Claudio,With character too gross is writ on Juliet.,232
Act I,Scene II,Lucio,"With child, perhaps?",233
Act I,Scene II,Claudio,"Unhappily, even so.",234
Act I,Scene II,Claudio,And the new deputy now for the duke--,235
Act I,Scene II,Claudio,"Whether it be the fault and glimpse of newness,",236
Act I,Scene II,Claudio,Or whether that the body public be,237
Act I,Scene II,Claudio,"A horse whereon the governor doth ride,",238
Act I,Scene II,Claudio,"Who, newly in the seat, that it may know",239
Act I,Scene II,Claudio,"He can command, lets it straight feel the spur;",240
Act I,Scene II,Claudio,"Whether the tyranny be in his place,",241
Act I,Scene II,Claudio,"Or in his emmence that fills it up,",242
Act I,Scene II,Claudio,I stagger in:--but this new governor,243
Act I,Scene II,Claudio,Awakes me all the enrolled penalties,244
Act I,Scene II,Claudio,"Which have, like unscour'd armour, hung by the wall",245
Act I,Scene II,Claudio,So long that nineteen zodiacs have gone round,246
Act I,Scene II,Claudio,"And none of them been worn; and, for a name,",247
Act I,Scene II,Claudio,Now puts the drowsy and neglected act,248
Act I,Scene II,Claudio,Freshly on me: 'tis surely for a name.,249
Act I,Scene II,Lucio,I warrant it is: and thy head stands so tickle on,250
Act I,Scene II,Lucio,"thy shoulders that a milkmaid, if she be in love,",251
Act I,Scene II,Lucio,may sigh it off. Send after the duke and appeal to,252
Act I,Scene II,Lucio,him.,253
Act I,Scene II,Claudio,"I have done so, but he's not to be found.",254
Act I,Scene II,Claudio,"I prithee, Lucio, do me this kind service:",255
Act I,Scene II,Claudio,This day my sister should the cloister enter,256
Act I,Scene II,Claudio,And there receive her approbation:,257
Act I,Scene II,Claudio,Acquaint her with the danger of my state:,258
Act I,Scene II,Claudio,"Implore her, in my voice, that she make friends",259
Act I,Scene II,Claudio,To the strict deputy; bid herself assay him:,260
Act I,Scene II,Claudio,I have great hope in that; for in her youth,261
Act I,Scene II,Claudio,"There is a prone and speechless dialect,",262
Act I,Scene II,Claudio,"Such as move men; beside, she hath prosperous art",263
Act I,Scene II,Claudio,"When she will play with reason and discourse,",264
Act I,Scene II,Claudio,And well she can persuade.,265
Act I,Scene II,Lucio,I pray she may; as well for the encouragement of the,266
Act I,Scene II,Lucio,"like, which else would stand under grievous",267
Act I,Scene II,Lucio,"imposition, as for the enjoying of thy life, who I",268
Act I,Scene II,Lucio,would be sorry should be thus foolishly lost at a,269
Act I,Scene II,Lucio,game of tick-tack. I'll to her.,270
Act I,Scene II,Claudio,"I thank you, good friend Lucio.",271
Act I,Scene II,Lucio,Within two hours.,272
Act I,Scene II,Claudio,"Come, officer, away!",273
Act I,Scene II,[stage direction],Exeunt,NA
Act I,Scene III,[stage direction],Enter DUKE VINCENTIO and FRIAR THOMAS,NA
Act I,Scene III,Duke Vincentio,"No, holy father; throw away that thought;",274
Act I,Scene III,Duke Vincentio,Believe not that the dribbling dart of love,275
Act I,Scene III,Duke Vincentio,Can pierce a complete bosom. Why I desire thee,276
Act I,Scene III,Duke Vincentio,"To give me secret harbour, hath a purpose",277
Act I,Scene III,Duke Vincentio,More grave and wrinkled than the aims and ends,278
Act I,Scene III,Duke Vincentio,Of burning youth.,279
Act I,Scene III,Friar Thomas,May your grace speak of it?,280
Act I,Scene III,Duke Vincentio,"My holy sir, none better knows than you",281
Act I,Scene III,Duke Vincentio,How I have ever loved the life removed,282
Act I,Scene III,Duke Vincentio,And held in idle price to haunt assemblies,283
Act I,Scene III,Duke Vincentio,"Where youth, and cost, and witless bravery keeps.",284
Act I,Scene III,Duke Vincentio,"I have deliver'd to Lord Angelo,",285
Act I,Scene III,Duke Vincentio,"A man of stricture and firm abstinence,",286
Act I,Scene III,Duke Vincentio,"My absolute power and place here in Vienna,",287
Act I,Scene III,Duke Vincentio,And he supposes me travell'd to Poland;,288
Act I,Scene III,Duke Vincentio,"For so I have strew'd it in the common ear,",289
Act I,Scene III,Duke Vincentio,"And so it is received. Now, pious sir,",290
Act I,Scene III,Duke Vincentio,You will demand of me why I do this?,291
Act I,Scene III,Friar Thomas,"Gladly, my lord.",292
Act I,Scene III,Duke Vincentio,We have strict statutes and most biting laws.,293
Act I,Scene III,Duke Vincentio,"The needful bits and curbs to headstrong weeds,",294
Act I,Scene III,Duke Vincentio,Which for this nineteen years we have let slip;,295
Act I,Scene III,Duke Vincentio,"Even like an o'ergrown lion in a cave,",296
Act I,Scene III,Duke Vincentio,"That goes not out to prey. Now, as fond fathers,",297
Act I,Scene III,Duke Vincentio,"Having bound up the threatening twigs of birch,",298
Act I,Scene III,Duke Vincentio,Only to stick it in their children's sight,299
Act I,Scene III,Duke Vincentio,"For terror, not to use, in time the rod",300
Act I,Scene III,Duke Vincentio,"Becomes more mock'd than fear'd; so our decrees,",301
Act I,Scene III,Duke Vincentio,"Dead to infliction, to themselves are dead;",302
Act I,Scene III,Duke Vincentio,And liberty plucks justice by the nose;,303
Act I,Scene III,Duke Vincentio,"The baby beats the nurse, and quite athwart",304
Act I,Scene III,Duke Vincentio,Goes all decorum.,305
Act I,Scene III,Friar Thomas,It rested in your grace,306
Act I,Scene III,Friar Thomas,To unloose this tied-up justice when you pleased:,307
Act I,Scene III,Friar Thomas,And it in you more dreadful would have seem'd,308
Act I,Scene III,Friar Thomas,Than in Lord Angelo.,309
Act I,Scene III,Duke Vincentio,"I do fear, too dreadful:",310
Act I,Scene III,Duke Vincentio,"Sith 'twas my fault to give the people scope,",311
Act I,Scene III,Duke Vincentio,'Twould be my tyranny to strike and gall them,312
Act I,Scene III,Duke Vincentio,"For what I bid them do: for we bid this be done,",313
Act I,Scene III,Duke Vincentio,When evil deeds have their permissive pass,314
