act,scene,character,dialogue,line_number
Act I,Scene I,Titus Andronicus,"Romans, of five and twenty valiant sons,",79
Act I,Scene I,Titus Andronicus,"Half of the number that King Priam had,",80
Act I,Scene I,Titus Andronicus,"Behold the poor remains, alive and dead!",81
Act I,Scene I,Titus Andronicus,These that survive let Rome reward with love;,82
Act I,Scene I,Titus Andronicus,"These that I bring unto their latest home,",83
Act I,Scene I,Titus Andronicus,With burial amongst their ancestors:,84
Act I,Scene I,Titus Andronicus,Here Goths have given me leave to sheathe my sword.,85
Act I,Scene I,Titus Andronicus,"Titus, unkind and careless of thine own,",86
Act I,Scene I,Titus Andronicus,"Why suffer'st thou thy sons, unburied yet,",87
Act I,Scene I,Titus Andronicus,To hover on the dreadful shore of Styx?,88
Act I,Scene I,Titus Andronicus,Make way to lay them by their brethren.,89
Act I,Scene I,[stage direction],The tomb is opened,NA
Act I,Scene I,Titus Andronicus,"There greet in silence, as the dead are wont,",90
Act I,Scene I,Titus Andronicus,"And sleep in peace, slain in your country's wars!",91
Act I,Scene I,Titus Andronicus,"O sacred receptacle of my joys,",92
Act I,Scene I,Titus Andronicus,"Sweet cell of virtue and nobility,",93
Act I,Scene I,Titus Andronicus,"How many sons of mine hast thou in store,",94
Act I,Scene I,Titus Andronicus,That thou wilt never render to me more!,95
Act I,Scene I,Lucius,"Give us the proudest prisoner of the Goths,",96
Act I,Scene I,Lucius,"That we may hew his limbs, and on a pile",97
Act I,Scene I,Lucius,"Ad manes fratrum sacrifice his flesh,",98
Act I,Scene I,Lucius,Before this earthy prison of their bones;,99
Act I,Scene I,Lucius,"That so the shadows be not unappeased,",100
Act I,Scene I,Lucius,Nor we disturb'd with prodigies on earth.,101
Act I,Scene I,Titus Andronicus,"I give him you, the noblest that survives,",102
Act I,Scene I,Titus Andronicus,The eldest son of this distressed queen.,103
Act I,Scene I,Tamora,"Stay, Roman brethren! Gracious conqueror,",104
Act I,Scene I,Tamora,"Victorious Titus, rue the tears I shed,",105
Act I,Scene I,Tamora,A mother's tears in passion for her son:,106
Act I,Scene I,Tamora,"And if thy sons were ever dear to thee,",107
Act I,Scene I,Tamora,"O, think my son to be as dear to me!",108
Act I,Scene I,Tamora,"Sufficeth not that we are brought to Rome,",109
Act I,Scene I,Tamora,"To beautify thy triumphs and return,",110
Act I,Scene I,Tamora,"Captive to thee and to thy Roman yoke,",111
Act I,Scene I,Tamora,"But must my sons be slaughter'd in the streets,",112
Act I,Scene I,Tamora,For valiant doings in their country's cause?,113
Act I,Scene I,Tamora,"O, if to fight for king and commonweal",114
Act I,Scene I,Tamora,"Were piety in thine, it is in these.",115
Act I,Scene I,Tamora,"Andronicus, stain not thy tomb with blood:",116
Act I,Scene I,Tamora,Wilt thou draw near the nature of the gods?,117
Act I,Scene I,Tamora,Draw near them then in being merciful:,118
Act I,Scene I,Tamora,Sweet mercy is nobility's true badge:,119
Act I,Scene I,Tamora,"Thrice noble Titus, spare my first-born son.",120
Act I,Scene I,Titus Andronicus,"Patient yourself, madam, and pardon me.",121
Act I,Scene I,Titus Andronicus,"These are their brethren, whom you Goths beheld",122
Act I,Scene I,Titus Andronicus,"Alive and dead, and for their brethren slain",123
Act I,Scene I,Titus Andronicus,Religiously they ask a sacrifice:,124
Act I,Scene I,Titus Andronicus,"To this your son is mark'd, and die he must,",125
Act I,Scene I,Titus Andronicus,To appease their groaning shadows that are gone.,126
Act I,Scene I,Lucius,Away with him! and make a fire straight;,127
Act I,Scene I,Lucius,"And with our swords, upon a pile of wood,",128
Act I,Scene I,Lucius,Let's hew his limbs till they be clean consumed.,129
Act I,Scene I,[stage direction],"Exeunt LUCIUS, QUINTUS, MARTIUS, and MUTIUS, with ALARBUS",NA
Act I,Scene I,Tamora,"O cruel, irreligious piety!",130
Act I,Scene I,Chiron,Was ever Scythia half so barbarous?,131
Act I,Scene I,Demetrius,Oppose not Scythia to ambitious Rome.,132
Act I,Scene I,Demetrius,Alarbus goes to rest; and we survive,133
Act I,Scene I,Demetrius,To tremble under Titus' threatening looks.,134
Act I,Scene I,Demetrius,"Then, madam, stand resolved, but hope withal",135
Act I,Scene I,Demetrius,The self-same gods that arm'd the Queen of Troy,136
Act I,Scene I,Demetrius,With opportunity of sharp revenge,137
Act I,Scene I,Demetrius,"Upon the Thracian tyrant in his tent,",138
Act I,Scene I,Demetrius,"May favor Tamora, the Queen of Goths--",139
Act I,Scene I,Demetrius,When Goths were Goths and Tamora was queen--,140
Act I,Scene I,Demetrius,To quit the bloody wrongs upon her foes.,141
Act I,Scene I,[stage direction],"Re-enter LUCIUS, QUINTUS, MARTIUS and MUTIUS, with their swords bloody",NA
Act I,Scene I,Lucius,"See, lord and father, how we have perform'd",142
Act I,Scene I,Lucius,"Our Roman rites: Alarbus' limbs are lopp'd,",143
Act I,Scene I,Lucius,"And entrails feed the sacrificing fire,",144
Act I,Scene I,Lucius,"Whose smoke, like incense, doth perfume the sky.",145
Act I,Scene I,Lucius,"Remaineth nought, but to inter our brethren,",146
Act I,Scene I,Lucius,And with loud 'larums welcome them to Rome.,147
Act I,Scene I,Titus Andronicus,Let it be so; and let Andronicus,148
Act I,Scene I,Titus Andronicus,Make this his latest farewell to their souls.,149
Act I,Scene I,[stage direction],"Trumpets sounded, and the coffin laid in the tomb",NA
Act I,Scene I,Titus Andronicus,"In peace and honour rest you here, my sons;",150
Act I,Scene I,Titus Andronicus,"Rome's readiest champions, repose you here in rest,",151
Act I,Scene I,Titus Andronicus,Secure from worldly chances and mishaps!,152
Act I,Scene I,Titus Andronicus,"Here lurks no treason, here no envy swells,",153
Act I,Scene I,Titus Andronicus,"Here grow no damned grudges; here are no storms,",154
Act I,Scene I,Titus Andronicus,"No noise, but silence and eternal sleep:",155
Act I,Scene I,Titus Andronicus,"In peace and honour rest you here, my sons!",156
Act I,Scene I,[stage direction],Enter LAVINIA,NA
Act I,Scene I,Lavinia,In peace and honour live Lord Titus long;,157
Act I,Scene I,Lavinia,"My noble lord and father, live in fame!",158
Act I,Scene I,Lavinia,"Lo, at this tomb my tributary tears",159
Act I,Scene I,Lavinia,"I render, for my brethren's obsequies;",160
Act I,Scene I,Lavinia,"And at thy feet I kneel, with tears of joy,",161
Act I,Scene I,Lavinia,"Shed on the earth, for thy return to Rome:",162
Act I,Scene I,Lavinia,"O, bless me here with thy victorious hand,",163
Act I,Scene I,Lavinia,Whose fortunes Rome's best citizens applaud!,164
Act I,Scene I,Titus Andronicus,"Kind Rome, that hast thus lovingly reserved",165
