act,scene,character,dialogue,line_number
Act I,Scene I,Aegeon,Gather the sequel by that went before.,95
Act I,Scene I,Duke Solinus,"Nay, forward, old man; do not break off so;",96
Act I,Scene I,Duke Solinus,"For we may pity, though not pardon thee.",97
Act I,Scene I,Aegeon,"O, had the gods done so, I had not now",98
Act I,Scene I,Aegeon,Worthily term'd them merciless to us!,99
Act I,Scene I,Aegeon,"For, ere the ships could meet by twice five leagues,",100
Act I,Scene I,Aegeon,We were encounterd by a mighty rock;,101
Act I,Scene I,Aegeon,"Which being violently borne upon,",102
Act I,Scene I,Aegeon,Our helpful ship was splitted in the midst;,103
Act I,Scene I,Aegeon,"So that, in this unjust divorce of us,",104
Act I,Scene I,Aegeon,Fortune had left to both of us alike,105
Act I,Scene I,Aegeon,"What to delight in, what to sorrow for.",106
Act I,Scene I,Aegeon,"Her part, poor soul! seeming as burdened",107
Act I,Scene I,Aegeon,"With lesser weight but not with lesser woe,",108
Act I,Scene I,Aegeon,Was carried with more speed before the wind;,109
Act I,Scene I,Aegeon,And in our sight they three were taken up,110
Act I,Scene I,Aegeon,"By fishermen of Corinth, as we thought.",111
Act I,Scene I,Aegeon,"At length, another ship had seized on us;",112
Act I,Scene I,Aegeon,"And, knowing whom it was their hap to save,",113
Act I,Scene I,Aegeon,Gave healthful welcome to their shipwreck'd guests;,114
Act I,Scene I,Aegeon,"And would have reft the fishers of their prey,",115
Act I,Scene I,Aegeon,Had not their bark been very slow of sail;,116
Act I,Scene I,Aegeon,And therefore homeward did they bend their course.,117
Act I,Scene I,Aegeon,Thus have you heard me sever'd from my bliss;,118
Act I,Scene I,Aegeon,"That by misfortunes was my life prolong'd,",119
Act I,Scene I,Aegeon,To tell sad stories of my own mishaps.,120
Act I,Scene I,Duke Solinus,"And for the sake of them thou sorrowest for,",121
Act I,Scene I,Duke Solinus,Do me the favour to dilate at full,122
Act I,Scene I,Duke Solinus,What hath befall'n of them and thee till now.,123
Act I,Scene I,Aegeon,"My youngest boy, and yet my eldest care,",124
Act I,Scene I,Aegeon,At eighteen years became inquisitive,125
Act I,Scene I,Aegeon,After his brother: and importuned me,126
Act I,Scene I,Aegeon,"That his attendant--so his case was like,",127
Act I,Scene I,Aegeon,"Reft of his brother, but retain'd his name--",128
Act I,Scene I,Aegeon,Might bear him company in the quest of him:,129
Act I,Scene I,Aegeon,"Whom whilst I labour'd of a love to see,",130
Act I,Scene I,Aegeon,I hazarded the loss of whom I loved.,131
Act I,Scene I,Aegeon,"Five summers have I spent in furthest Greece,",132
Act I,Scene I,Aegeon,"Roaming clean through the bounds of Asia,",133
Act I,Scene I,Aegeon,"And, coasting homeward, came to Ephesus;",134
Act I,Scene I,Aegeon,"Hopeless to find, yet loath to leave unsought",135
Act I,Scene I,Aegeon,Or that or any place that harbours men.,136
Act I,Scene I,Aegeon,But here must end the story of my life;,137
Act I,Scene I,Aegeon,"And happy were I in my timely death,",138
Act I,Scene I,Aegeon,Could all my travels warrant me they live.,139
Act I,Scene I,Duke Solinus,"Hapless AEgeon, whom the fates have mark'd",140
Act I,Scene I,Duke Solinus,To bear the extremity of dire mishap!,141
Act I,Scene I,Duke Solinus,"Now, trust me, were it not against our laws,",142
Act I,Scene I,Duke Solinus,"Against my crown, my oath, my dignity,",143
Act I,Scene I,Duke Solinus,"Which princes, would they, may not disannul,",144
Act I,Scene I,Duke Solinus,My soul would sue as advocate for thee.,145
Act I,Scene I,Duke Solinus,"But, though thou art adjudged to the death",146
Act I,Scene I,Duke Solinus,And passed sentence may not be recall'd,147
Act I,Scene I,Duke Solinus,"But to our honour's great disparagement,",148
Act I,Scene I,Duke Solinus,Yet I will favour thee in what I can.,149
Act I,Scene I,Duke Solinus,"Therefore, merchant, I'll limit thee this day",150
Act I,Scene I,Duke Solinus,To seek thy life by beneficial help:,151
Act I,Scene I,Duke Solinus,Try all the friends thou hast in Ephesus;,152
Act I,Scene I,Duke Solinus,"Beg thou, or borrow, to make up the sum,",153
Act I,Scene I,Duke Solinus,"And live; if no, then thou art doom'd to die.",154
Act I,Scene I,Duke Solinus,"Gaoler, take him to thy custody.",155
Act I,Scene I,Gaoler,"I will, my lord.",156
Act I,Scene I,Aegeon,"Hopeless and helpless doth AEgeon wend,",157
Act I,Scene I,Aegeon,But to procrastinate his lifeless end.,158
Act I,Scene I,[stage direction],Exeunt,NA
Act I,Scene II,[stage direction],"Enter ANTIPHOLUS of Syracuse, DROMIO of Syracuse, and First Merchant",NA
Act I,Scene II,First Merchant,"Therefore give out you are of Epidamnum,",159
Act I,Scene II,First Merchant,Lest that your goods too soon be confiscate.,160
Act I,Scene II,First Merchant,This very day a Syracusian merchant,161
Act I,Scene II,First Merchant,Is apprehended for arrival here;,162
Act I,Scene II,First Merchant,And not being able to buy out his life,163
