line,stanza,line_number
'Thou canst not see one wrinkle in my brow;,25,145
Mine eyes are gray and bright and quick in turning:,25,146
"My beauty as the spring doth yearly grow,",25,147
"My flesh is soft and plump, my marrow burning;",25,148
"My smooth moist hand, were it with thy hand felt,",25,149
"Would in thy palm dissolve, or seem to melt.",25,150
"'Bid me discourse, I will enchant thine ear,",26,151
"Or, like a fairy, trip upon the green,",26,152
"Or, like a nymph, with long dishevell'd hair,",26,153
"Dance on the sands, and yet no footing seen:",26,154
"Love is a spirit all compact of fire,",26,155
"Not gross to sink, but light, and will aspire.",26,156
'Witness this primrose bank whereon I lie;,27,157
These forceless flowers like sturdy trees support me;,27,158
"Two strengthless doves will draw me through the sky,",27,159
"From morn till night, even where I list to sport me:",27,160
"Is love so light, sweet boy, and may it be",27,161
That thou shouldst think it heavy unto thee?,27,162
'Is thine own heart to thine own face affected?,28,163
Can thy right hand seize love upon thy left?,28,164
"Then woo thyself, be of thyself rejected,",28,165
Steal thine own freedom and complain on theft.,28,166
"Narcissus so himself himself forsook,",28,167
And died to kiss his shadow in the brook.,28,168
"'Torches are made to light, jewels to wear,",29,169
"Dainties to taste, fresh beauty for the use,",29,170
"Herbs for their smell, and sappy plants to bear:",29,171
Things growing to themselves are growth's abuse:,29,172
Seeds spring from seeds and beauty breedeth beauty;,29,173
Thou wast begot; to get it is thy duty.,29,174
"'Upon the earth's increase why shouldst thou feed,",30,175
Unless the earth with thy increase be fed?,30,176
"By law of nature thou art bound to breed,",30,177
That thine may live when thou thyself art dead;,30,178
"And so, in spite of death, thou dost survive,",30,179
In that thy likeness still is left alive.',30,180
"By this the love-sick queen began to sweat,",31,181
"For where they lay the shadow had forsook them,",31,182
"And Titan, tired in the mid-day heat,",31,183
With burning eye did hotly overlook them;,31,184
"Wishing Adonis had his team to guide,",31,185
So he were like him and by Venus' side.,31,186
"And now Adonis, with a lazy spright,",32,187
"And with a heavy, dark, disliking eye,",32,188
"His louring brows o'erwhelming his fair sight,",32,189
"Like misty vapours when they blot the sky,",32,190
"Souring his cheeks cries 'Fie, no more of love!",32,191
The sun doth burn my face: I must remove.',32,192
"'Ay me,' quoth Venus, 'young, and so unkind?",33,193
What bare excuses makest thou to be gone!,33,194
"I'll sigh celestial breath, whose gentle wind",33,195
Shall cool the heat of this descending sun:,33,196
I'll make a shadow for thee of my hairs;,33,197
"If they burn too, I'll quench them with my tears.",33,198
"'The sun that shines from heaven shines but warm,",34,199
"And, lo, I lie between that sun and thee:",34,200
"The heat I have from thence doth little harm,",34,201
Thine eye darts forth the fire that burneth me;,34,202
"And were I not immortal, life were done",34,203
Between this heavenly and earthly sun.,34,204
"'Art thou obdurate, flinty, hard as steel,",35,205
"Nay, more than flint, for stone at rain relenteth?",35,206
"Art thou a woman's son, and canst not feel",35,207
What 'tis to love? how want of love tormenteth?,35,208
"O, had thy mother borne so hard a mind,",35,209
"She had not brought forth thee, but died unkind.",35,210
"'What am I, that thou shouldst contemn me this?",36,211
Or what great danger dwells upon my suit?,36,212
What were thy lips the worse for one poor kiss?,36,213
"Speak, fair; but speak fair words, or else be mute:",36,214
"Give me one kiss, I'll give it thee again,",36,215
"And one for interest, if thou wilt have twain.",36,216
"'Fie, lifeless picture, cold and senseless stone,",37,217
"Well-painted idol, image dun and dead,",37,218
"Statue contenting but the eye alone,",37,219
"Thing like a man, but of no woman bred!",37,220
"Thou art no man, though of a man's complexion,",37,221
For men will kiss even by their own direction.',37,222
"This said, impatience chokes her pleading tongue,",38,223
And swelling passion doth provoke a pause;,38,224
Red cheeks and fiery eyes blaze forth he wrong;,38,225
"Being judge in love, she cannot right her cause:",38,226
"And now she weeps, and now she fain would speak,",38,227
And now her sobs do her intendments break.,38,228
"Sometimes she shakes her head and then his hand,",39,229
"Now gazeth she on him, now on the ground;",39,230
Sometimes her arms infold him like a band:,39,231
"She would, he will not in her arms be bound;",39,232
"And when from thence he struggles to be gone,",39,233
She locks her lily fingers one in one.,39,234
"'Fondling,' she saith, 'since I have hemm'd thee here",40,235
"Within the circuit of this ivory pale,",40,236
"I'll be a park, and thou shalt be my deer;",40,237
"Feed where thou wilt, on mountain or in dale:",40,238
"Graze on my lips; and if those hills be dry,",40,239
"Stray lower, where the pleasant fountains lie.",40,240
"Within this limit is relief enough,",41,241
"Sweet bottom-grass and high delightful plain,",41,242
"Round rising hillocks, brakes obscure and rough,",41,243
To shelter thee from tempest and from rain,41,244
"Then be my deer, since I am such a park;",41,245
"No dog shall rouse thee, though a thousand bark.'",41,246
"At this Adonis smiles as in disdain,",42,247
That in each cheek appears a pretty dimple:,42,248
"Love made those hollows, if himself were slain,",42,249
He might be buried in a tomb so simple;,42,250
"Foreknowing well, if there he came to lie,",42,251
"Why, there Love lived and there he could not die.",42,252
"These lovely caves, these round enchanting pits,",43,253
Open'd their mouths to swallow Venus' liking.,43,254
"Being mad before, how doth she now for wits?",43,255
"Struck dead at first, what needs a second striking?",43,256
"Poor queen of love, in thine own law forlorn,",43,257
To love a cheek that smiles at thee in scorn!,43,258
Now which way shall she turn? what shall she say?,44,259
"Her words are done, her woes are more increasing;",44,260
"The time is spent, her object will away,",44,261
And from her twining arms doth urge releasing.,44,262
"'Pity,' she cries, 'some favour, some remorse!'",44,263
Away he springs and hasteth to his horse.,44,264
"But, lo, from forth a copse that neighbors by,",45,265
"A breeding jennet, lusty, young and proud,",45,266
"Adonis' trampling courser doth espy,",45,267
"And forth she rushes, snorts and neighs aloud:",45,268
"The strong-neck'd steed, being tied unto a tree,",45,269
"Breaketh his rein, and to her straight goes he.",45,270
"Imperiously he leaps, he neighs, he bounds,",46,271
And now his woven girths he breaks asunder;,46,272
"The bearing earth with his hard hoof he wounds,",46,273
Whose hollow womb resounds like heaven's thunder;,46,274
"The iron bit he crusheth 'tween his teeth,",46,275
Controlling what he was controlled with.,46,276
His ears up-prick'd; his braided hanging mane,47,277
Upon his compass'd crest now stand on end;,47,278
"His nostrils drink the air, and forth again,",47,279
"As from a furnace, vapours doth he send:",47,280
"His eye, which scornfully glisters like fire,",47,281
Shows his hot courage and his high desire.,47,282
"Sometime he trots, as if he told the steps,",48,283
With gentle majesty and modest pride;,48,284
"Anon he rears upright, curvets and leaps,",48,285
"As who should say 'Lo, thus my strength is tried,",48,286
And this I do to captivate the eye,48,287
Of the fair breeder that is standing by.',48,288
"What recketh he his rider's angry stir,",49,289
"His flattering 'Holla,' or his 'Stand, I say'?",49,290
What cares he now for curb or pricking spur?,49,291
For rich caparisons or trapping gay?,49,292
"He sees his love, and nothing else he sees,",49,293
For nothing else with his proud sight agrees.,49,294
"Look, when a painter would surpass the life,",50,295
"In limning out a well-proportion'd steed,",50,296
"His art with nature's workmanship at strife,",50,297
As if the dead the living should exceed;,50,298
So did this horse excel a common one,50,299
"In shape, in courage, colour, pace and bone.",50,300
"Round-hoof'd, short-jointed, fetlocks shag and long,",51,301
"Broad breast, full eye, small head and nostril wide,",51,302
"High crest, short ears, straight legs and passing strong,",51,303
"Thin mane, thick tail, broad buttock, tender hide:",51,304
"Look, what a horse should have he did not lack,",51,305
Save a proud rider on so proud a back.,51,306
Sometime he scuds far off and there he stares;,52,307
Anon he starts at stirring of a feather;,52,308
"To bid the wind a base he now prepares,",52,309
And whether he run or fly they know not whether;,52,310
"For through his mane and tail the high wind sings,",52,311
"Fanning the hairs, who wave like feather'd wings.",52,312
He looks upon his love and neighs unto her;,53,313
She answers him as if she knew his mind:,53,314
"Being proud, as females are, to see him woo her,",53,315
"She puts on outward strangeness, seems unkind,",53,316
"Spurns at his love and scorns the heat he feels,",53,317
Beating his kind embracements with her heels.,53,318
"Then, like a melancholy malcontent,",54,319
"He veils his tail that, like a falling plume,",54,320
Cool shadow to his melting buttock lent:,54,321
He stamps and bites the poor flies in his fume.,54,322
"His love, perceiving how he is enraged,",54,323
"Grew kinder, and his fury was assuaged.",54,324
His testy master goeth about to take him;,55,325
"When, lo, the unback'd breeder, full of fear,",55,326
"Jealous of catching, swiftly doth forsake him,",55,327
"With her the horse, and left Adonis there:",55,328
"As they were mad, unto the wood they hie them,",55,329
Out-stripping crows that strive to over-fly them.,55,330
"All swoln with chafing, down Adonis sits,",56,331
Banning his boisterous and unruly beast:,56,332
"And now the happy season once more fits,",56,333
That love-sick Love by pleading may be blest;,56,334
"For lovers say, the heart hath treble wrong",56,335
When it is barr'd the aidance of the tongue.,56,336
"An oven that is stopp'd, or river stay'd,",57,337
"Burneth more hotly, swelleth with more rage:",57,338
So of concealed sorrow may be said;,57,339
Free vent of words love's fire doth assuage;,57,340
"But when the heart's attorney once is mute,",57,341
"The client breaks, as desperate in his suit.",57,342
"He sees her coming, and begins to glow,",58,343
"Even as a dying coal revives with wind,",58,344
And with his bonnet hides his angry brow;,58,345
"Looks on the dull earth with disturbed mind,",58,346
"Taking no notice that she is so nigh,",58,347
For all askance he holds her in his eye.,58,348
"O, what a sight it was, wistly to view",59,349
How she came stealing to the wayward boy!,59,350
"To note the fighting conflict of her hue,",59,351
How white and red each other did destroy!,59,352
"But now her cheek was pale, and by and by",59,353
"It flash'd forth fire, as lightning from the sky.",59,354
"Now was she just before him as he sat,",60,355
And like a lowly lover down she kneels;,60,356
"With one fair hand she heaveth up his hat,",60,357
Her other tender hand his fair cheek feels:,60,358
"His tenderer cheek receives her soft hand's print,",60,359
As apt as new-fall'n snow takes any dint.,60,360
"O, what a war of looks was then between them!",61,361
Her eyes petitioners to his eyes suing;,61,362
His eyes saw her eyes as they had not seen them;,61,363
