line,stanza,line_number
"The thorny brambles and embracing bushes,",106,636
"As fearful of him, part, through whom he rushes.",106,637
"'Alas, he nought esteems that face of thine,",107,638
To which Love's eyes pay tributary gazes;,107,639
"Nor thy soft hands, sweet lips and crystal eyne,",107,640
Whose full perfection all the world amazes;,107,641
"But having thee at vantage,--wondrous dread!--",107,642
Would root these beauties as he roots the mead.,107,643
"'O, let him keep his loathsome cabin still;",108,644
Beauty hath nought to do with such foul fiends:,108,645
Come not within his danger by thy will;,108,646
They that thrive well take counsel of their friends.,108,647
"When thou didst name the boar, not to dissemble,",108,648
"I fear'd thy fortune, and my joints did tremble.",108,649
'Didst thou not mark my face? was it not white?,109,650
Saw'st thou not signs of fear lurk in mine eye?,109,651
Grew I not faint? and fell I not downright?,109,652
"Within my bosom, whereon thou dost lie,",109,653
"My boding heart pants, beats, and takes no rest,",109,654
"But, like an earthquake, shakes thee on my breast.",109,655
"'For where Love reigns, disturbing Jealousy",110,656
Doth call himself Affection's sentinel;,110,657
"Gives false alarms, suggesteth mutiny,",110,658
"And in a peaceful hour doth cry 'Kill, kill!'",110,659
"Distempering gentle Love in his desire,",110,660
As air and water do abate the fire.,110,661
"'This sour informer, this bate-breeding spy,",111,662
"This canker that eats up Love's tender spring,",111,663
"This carry-tale, dissentious Jealousy,",111,664
"That sometime true news, sometime false doth bring,",111,665
Knocks at my heat and whispers in mine ear,111,666
"That if I love thee, I thy death should fear:",111,667
"'And more than so, presenteth to mine eye",112,668
"The picture of an angry-chafing boar,",112,669
Under whose sharp fangs on his back doth lie,112,670
"An image like thyself, all stain'd with gore;",112,671
Whose blood upon the fresh flowers being shed,112,672
Doth make them droop with grief and hang the head.,112,673
"'What should I do, seeing thee so indeed,",113,674
That tremble at the imagination?,113,675
"The thought of it doth make my faint heart bleed,",113,676
And fear doth teach it divination:,113,677
"I prophesy thy death, my living sorrow,",113,678
If thou encounter with the boar to-morrow.,113,679
"'But if thou needs wilt hunt, be ruled by me;",114,680
"Uncouple at the timorous flying hare,",114,681
"Or at the fox which lives by subtlety,",114,682
Or at the roe which no encounter dare:,114,683
"Pursue these fearful creatures o'er the downs,",114,684
And on thy well-breath'd horse keep with thy,114,685
hounds.,114,686
"'And when thou hast on foot the purblind hare,",115,687
"Mark the poor wretch, to overshoot his troubles",115,688
How he outruns the wind and with what care,115,689
He cranks and crosses with a thousand doubles:,115,690
The many musets through the which he goes,115,691
Are like a labyrinth to amaze his foes.,115,692
"'Sometime he runs among a flock of sheep,",116,693
"To make the cunning hounds mistake their smell,",116,694
"And sometime where earth-delving conies keep,",116,695
"To stop the loud pursuers in their yell,",116,696
And sometime sorteth with a herd of deer:,116,697
Danger deviseth shifts; wit waits on fear:,116,698
"'For there his smell with others being mingled,",117,699
"The hot scent-snuffing hounds are driven to doubt,",117,700
Ceasing their clamorous cry till they have singled,117,701
With much ado the cold fault cleanly out;,117,702
"Then do they spend their mouths: Echo replies,",117,703
As if another chase were in the skies.,117,704
"'By this, poor Wat, far off upon a hill,",118,705
"Stands on his hinder legs with listening ear,",118,706
To harken if his foes pursue him still:,118,707
Anon their loud alarums he doth hear;,118,708
And now his grief may be compared well,118,709
To one sore sick that hears the passing-bell.,118,710
'Then shalt thou see the dew-bedabbled wretch,119,711
"Turn, and return, indenting with the way;",119,712
"Each envious brier his weary legs doth scratch,",119,713
"Each shadow makes him stop, each murmur stay:",119,714
"For misery is trodden on by many,",119,715
And being low never relieved by any.,119,716
"'Lie quietly, and hear a little more;",120,717
"Nay, do not struggle, for thou shalt not rise:",120,718
"To make thee hate the hunting of the boar,",120,719
"Unlike myself thou hear'st me moralize,",120,720
"Applying this to that, and so to so;",120,721
For love can comment upon every woe.,120,722
"'Where did I leave?' 'No matter where,' quoth he,",121,723
"'Leave me, and then the story aptly ends:",121,724
"The night is spent.' 'Why, what of that?' quoth she.",121,725
"'I am,' quoth he, 'expected of my friends;",121,726
"And now 'tis dark, and going I shall fall.'",121,727
"'In night,' quoth she, 'desire sees best of all",121,728
"'But if thou fall, O, then imagine this,",122,729
"The earth, in love with thee, thy footing trips,",122,730
And all is but to rob thee of a kiss.,122,731
Rich preys make true men thieves; so do thy lips,122,732
"Make modest Dian cloudy and forlorn,",122,733
Lest she should steal a kiss and die forsworn.,122,734
'Now of this dark night I perceive the reason:,123,735
"Cynthia for shame obscures her silver shine,",123,736
"Till forging Nature be condemn'd of treason,",123,737
For stealing moulds from heaven that were divine;,123,738
"Wherein she framed thee in high heaven's despite,",123,739
To shame the sun by day and her by night.,123,740
'And therefore hath she bribed the Destinies,124,741
"To cross the curious workmanship of nature,",124,742
"To mingle beauty with infirmities,",124,743
"And pure perfection with impure defeature,",124,744
Making it subject to the tyranny,124,745
Of mad mischances and much misery;,124,746
"'As burning fevers, agues pale and faint,",125,747
"Life-poisoning pestilence and frenzies wood,",125,748
"The marrow-eating sickness, whose attaint",125,749
Disorder breeds by heating of the blood:,125,750
"Surfeits, imposthumes, grief, and damn'd despair,",125,751
Swear nature's death for framing thee so fair.,125,752
'And not the least of all these maladies,126,753
But in one minute's fight brings beauty under:,126,754
"Both favour, savour, hue and qualities,",126,755
"Whereat the impartial gazer late did wonder,",126,756
"Are on the sudden wasted, thaw'd and done,",126,757
As mountain-snow melts with the midday sun.,126,758
"'Therefore, despite of fruitless chastity,",127,759
"Love-lacking vestals and self-loving nuns,",127,760
That on the earth would breed a scarcity,127,761
"And barren dearth of daughters and of sons,",127,762
Be prodigal: the lamp that burns by night,127,763
Dries up his oil to lend the world his light.,127,764
"'What is thy body but a swallowing grave,",128,765
Seeming to bury that posterity,128,766
"Which by the rights of time thou needs must have,",128,767
If thou destroy them not in dark obscurity?,128,768
"If so, the world will hold thee in disdain,",128,769
Sith in thy pride so fair a hope is slain.,128,770
'So in thyself thyself art made away;,129,771
"A mischief worse than civil home-bred strife,",129,772
"Or theirs whose desperate hands themselves do slay,",129,773
Or butcher-sire that reaves his son of life.,129,774
"Foul-cankering rust the hidden treasure frets,",129,775
But gold that's put to use more gold begets.',129,776
"'Nay, then,' quoth Adon, 'you will fall again",130,777
Into your idle over-handled theme:,130,778
"The kiss I gave you is bestow'd in vain,",130,779
And all in vain you strive against the stream;,130,780
"For, by this black-faced night, desire's foul nurse,",130,781
Your treatise makes me like you worse and worse.,130,782
"'If love have lent you twenty thousand tongues,",131,783
"And every tongue more moving than your own,",131,784
"Bewitching like the wanton mermaid's songs,",131,785
Yet from mine ear the tempting tune is blown,131,786
"For know, my heart stands armed in mine ear,",131,787
And will not let a false sound enter there;,131,788
'Lest the deceiving harmony should run,132,789
Into the quiet closure of my breast;,132,790
"And then my little heart were quite undone,",132,791
In his bedchamber to be barr'd of rest.,132,792
"No, lady, no; my heart longs not to groan,",132,793
"But soundly sleeps, while now it sleeps alone.",132,794
'What have you urged that I cannot reprove?,133,795
The path is smooth that leadeth on to danger:,133,796
"I hate not love, but your device in love,",133,797
That lends embracements unto every stranger.,133,798
"You do it for increase: O strange excuse,",133,799
When reason is the bawd to lust's abuse!,133,800
"'Call it not love, for Love to heaven is fled,",134,801
Since sweating Lust on earth usurp'd his name;,134,802
Under whose simple semblance he hath fed,134,803
"Upon fresh beauty, blotting it with blame;",134,804
"Which the hot tyrant stains and soon bereaves,",134,805
As caterpillars do the tender leaves.,134,806
"'Love comforteth like sunshine after rain,",135,807
But Lust's effect is tempest after sun;,135,808
"Love's gentle spring doth always fresh remain,",135,809
Lust's winter comes ere summer half be done;,135,810
"Love surfeits not, Lust like a glutton dies;",135,811
"Love is all truth, Lust full of forged lies.",135,812
"'More I could tell, but more I dare not say;",136,813
"The text is old, the orator too green.",136,814
"Therefore, in sadness, now I will away;",136,815
"My face is full of shame, my heart of teen:",136,816
"Mine ears, that to your wanton talk attended,",136,817
Do burn themselves for having so offended.',136,818
"With this, he breaketh from the sweet embrace,",137,819
"Of those fair arms which bound him to her breast,",137,820
And homeward through the dark laund runs apace;,137,821
Leaves Love upon her back deeply distress'd.,137,822
"Look, how a bright star shooteth from the sky,",137,823
So glides he in the night from Venus' eye.,137,824
"Which after him she darts, as one on shore",138,825
"Gazing upon a late-embarked friend,",138,826
"Till the wild waves will have him seen no more,",138,827
Whose ridges with the meeting clouds contend:,138,828
So did the merciless and pitchy night,138,829
Fold in the object that did feed her sight.,138,830
"Whereat amazed, as one that unaware",139,831
"Hath dropp'd a precious jewel in the flood,",139,832
"Or stonish'd as night-wanderers often are,",139,833
"Their light blown out in some mistrustful wood,",139,834
"Even so confounded in the dark she lay,",139,835
Having lost the fair discovery of her way.,139,836
"And now she beats her heart, whereat it groans,",140,837
"That all the neighbour caves, as seeming troubled,",140,838
Make verbal repetition of her moans;,140,839
Passion on passion deeply is redoubled:,140,840
"'Ay me!' she cries, and twenty times 'Woe, woe!'",140,841
And twenty echoes twenty times cry so.,140,842
She marking them begins a wailing note,141,843
And sings extemporally a woeful ditty;,141,844
How love makes young men thrall and old men dote;,141,845
"How love is wise in folly, foolish-witty:",141,846
"Her heavy anthem still concludes in woe,",141,847
And still the choir of echoes answer so.,141,848
"Her song was tedious and outwore the night,",142,849
"For lovers' hours are long, though seeming short:",142,850
"If pleased themselves, others, they think, delight",142,851
"In such-like circumstance, with suchlike sport:",142,852
Their copious stories oftentimes begun,142,853
End without audience and are never done.,142,854
For who hath she to spend the night withal,143,855
"But idle sounds resembling parasites,",143,856
"Like shrill-tongued tapsters answering every call,",143,857
Soothing the humour of fantastic wits?,143,858
She says ''Tis so:' they answer all ''Tis so;',143,859
"And would say after her, if she said 'No.'",143,860
"Lo, here the gentle lark, weary of rest,",144,861
"From his moist cabinet mounts up on high,",144,862
"And wakes the morning, from whose silver breast",144,863
The sun ariseth in his majesty;,144,864
Who doth the world so gloriously behold,144,865
That cedar-tops and hills seem burnish'd gold.,144,866
Venus salutes him with this fair good-morrow:,145,867
"'O thou clear god, and patron of all light,",145,868
From whom each lamp and shining star doth borrow,145,869
"The beauteous influence that makes him bright,",145,870
"There lives a son that suck'd an earthly mother,",145,871
"May lend thee light, as thou dost lend to other.'",145,872
"This said, she hasteth to a myrtle grove,",146,873
"Musing the morning is so much o'erworn,",146,874
And yet she hears no tidings of her love:,146,875
She hearkens for his hounds and for his horn:,146,876
"Anon she hears them chant it lustily,",146,877
And all in haste she coasteth to the cry.,146,878
"And as she runs, the bushes in the way",147,879
"Some catch her by the neck, some kiss her face,",147,880
Some twine about her thigh to make her stay:,147,881
"She wildly breaketh from their strict embrace,",147,882
"Like a milch doe, whose swelling dugs do ache,",147,883
Hasting to feed her fawn hid in some brake.,147,884
"By this, she hears the hounds are at a bay;",148,885
"Whereat she starts, like one that spies an adder",148,886
"Wreathed up in fatal folds just in his way,",148,887
The fear whereof doth make him shake and shudder;,148,888
Even so the timorous yelping of the hounds,148,889
Appals her senses and her spirit confounds.,148,890
"For now she knows it is no gentle chase,",149,891
"But the blunt boar, rough bear, or lion proud,",149,892
"Because the cry remaineth in one place,",149,893
Where fearfully the dogs exclaim aloud:,149,894
"Finding their enemy to be so curst,",149,895
They all strain courtesy who shall cope him first.,149,896
"This dismal cry rings sadly in her ear,",150,897
Through which it enters to surprise her heart;,150,898
"Who, overcome by doubt and bloodless fear,",150,899
With cold-pale weakness numbs each feeling part:,150,900
"Like soldiers, when their captain once doth yield,",150,901
They basely fly and dare not stay the field.,150,902
Thus stands she in a trembling ecstasy;,151,903
"Till, cheering up her senses all dismay'd,",151,904
"She tells them 'tis a causeless fantasy,",151,905
"And childish error, that they are afraid;",151,906
"Bids them leave quaking, bids them fear no more:--",151,907
"And with that word she spied the hunted boar,",151,908
"Whose frothy mouth, bepainted all with red,",152,909
"Like milk and blood being mingled both together,",152,910
"A second fear through all her sinews spread,",152,911
Which madly hurries her she knows not whither:,152,912
"This way runs, and now she will no further,",152,913
But back retires to rate the boar for murther.,152,914
A thousand spleens bear her a thousand ways;,153,915
She treads the path that she untreads again;,153,916
"Her more than haste is mated with delays,",153,917
"Like the proceedings of a drunken brain,",153,918
"Full of respects, yet nought at all respecting;",153,919
"In hand with all things, nought at all effecting.",153,920
"Here kennell'd in a brake she finds a hound,",154,921
"And asks the weary caitiff for his master,",154,922
"And there another licking of his wound,",154,923
'Gainst venom'd sores the only sovereign plaster;,154,924
"And here she meets another sadly scowling,",154,925
"To whom she speaks, and he replies with howling.",154,926
"When he hath ceased his ill-resounding noise,",155,927
"Another flap-mouth'd mourner, black and grim,",155,928
Against the welkin volleys out his voice;,155,929
"Another and another answer him,",155,930
"Clapping their proud tails to the ground below,",155,931
"Shaking their scratch'd ears, bleeding as they go.",155,932
"Look, how the world's poor people are amazed",156,933
"At apparitions, signs and prodigies,",156,934
"Whereon with fearful eyes they long have gazed,",156,935
Infusing them with dreadful prophecies;,156,936
So she at these sad signs draws up her breath,156,937
"And sighing it again, exclaims on Death.",156,938
"'Hard-favour'd tyrant, ugly, meagre, lean,",157,939
"Hateful divorce of love,'--thus chides she Death,--",157,940
"'Grim-grinning ghost, earth's worm, what dost thou mean",157,941
"To stifle beauty and to steal his breath,",157,942
"Who when he lived, his breath and beauty set",157,943
"Gloss on the rose, smell to the violet?",157,944
"'If he be dead,--O no, it cannot be,",158,945
"Seeing his beauty, thou shouldst strike at it:--",158,946
"O yes, it may; thou hast no eyes to see,",158,947
But hatefully at random dost thou hit.,158,948
"Thy mark is feeble age, but thy false dart",158,949
Mistakes that aim and cleaves an infant's heart.,158,950
"'Hadst thou but bid beware, then he had spoke,",159,951
"And, hearing him, thy power had lost his power.",159,952
The Destinies will curse thee for this stroke;,159,953
"They bid thee crop a weed, thou pluck'st a flower:",159,954
"Love's golden arrow at him should have fled,",159,955
"And not Death's ebon dart, to strike dead.",159,956
"'Dost thou drink tears, that thou provokest such weeping?",160,957
What may a heavy groan advantage thee?,160,958
Why hast thou cast into eternal sleeping,160,959
Those eyes that taught all other eyes to see?,160,960
"Now Nature cares not for thy mortal vigour,",160,961
Since her best work is ruin'd with thy rigour.',160,962
"Here overcome, as one full of despair,",161,963
"She vail'd her eyelids, who, like sluices, stopt",161,964
The crystal tide that from her two cheeks fair,161,965
In the sweet channel of her bosom dropt;,161,966
"But through the flood-gates breaks the silver rain,",161,967
And with his strong course opens them again.,161,968
"O, how her eyes and tears did lend and borrow!",162,969
"Her eyes seen in the tears, tears in her eye;",162,970
"Both crystals, where they view'd each other's sorrow,",162,971
Sorrow that friendly sighs sought still to dry;,162,972
"But like a stormy day, now wind, now rain,",162,973
"Sighs dry her cheeks, tears make them wet again.",162,974
"Variable passions throng her constant woe,",163,975
As striving who should best become her grief;,163,976
"All entertain'd, each passion labours so,",163,977
"That every present sorrow seemeth chief,",163,978
"But none is best: then join they all together,",163,979
Like many clouds consulting for foul weather.,163,980
"By this, far off she hears some huntsman hollo;",164,981
A nurse's song ne'er pleased her babe so well:,164,982
The dire imagination she did follow,164,983
This sound of hope doth labour to expel;,164,984
"For now reviving joy bids her rejoice,",164,985
And flatters her it is Adonis' voice.,164,986
"Whereat her tears began to turn their tide,",165,987
Being prison'd in her eye like pearls in glass;,165,988
"Yet sometimes falls an orient drop beside,",165,989
"Which her cheek melts, as scorning it should pass,",165,990
"To wash the foul face of the sluttish ground,",165,991
Who is but drunken when she seemeth drown'd.,165,992
"O hard-believing love, how strange it seems",166,993
"Not to believe, and yet too credulous!",166,994
Thy weal and woe are both of them extremes;,166,995
Despair and hope makes thee ridiculous:,166,996
"The one doth flatter thee in thoughts unlikely,",166,997
In likely thoughts the other kills thee quickly.,166,998
Now she unweaves the web that she hath wrought;,167,999
"Adonis lives, and Death is not to blame;",167,1000
"It was not she that call'd him, all-to naught:",167,1001
Now she adds honours to his hateful name;,167,1002
"She clepes him king of graves and grave for kings,",167,1003
Imperious supreme of all mortal things.,167,1004
"'No, no,' quoth she, 'sweet Death, I did but jest;",168,1005
Yet pardon me I felt a kind of fear,168,1006
"When as I met the boar, that bloody beast,",168,1007
"Which knows no pity, but is still severe;",168,1008
"Then, gentle shadow,--truth I must confess,--",168,1009
"I rail'd on thee, fearing my love's decease.",168,1010
''Tis not my fault: the boar provoked my tongue;,169,1011
"Be wreak'd on him, invisible commander;",169,1012
"'Tis he, foul creature, that hath done thee wrong;",169,1013
"I did but act, he's author of thy slander:",169,1014
"Grief hath two tongues, and never woman yet",169,1015
Could rule them both without ten women's wit.',169,1016
"Thus hoping that Adonis is alive,",170,1017
Her rash suspect she doth extenuate;,170,1018
"And that his beauty may the better thrive,",170,1019
With Death she humbly doth insinuate;,170,1020
"Tells him of trophies, statues, tombs, and stories",170,1021
"His victories, his triumphs and his glories.",170,1022
"'O Jove,' quoth she, 'how much a fool was I",171,1023
To be of such a weak and silly mind,171,1024
To wail his death who lives and must not die,171,1025
Till mutual overthrow of mortal kind!,171,1026
"For he being dead, with him is beauty slain,",171,1027
"And, beauty dead, black chaos comes again.",171,1028
"'Fie, fie, fond love, thou art so full of fear",172,1029
"As one with treasure laden, hemm'd thieves;",172,1030
"Trifles, unwitnessed with eye or ear,",172,1031
Thy coward heart with false bethinking grieves.',172,1032
"Even at this word she hears a merry horn,",172,1033
Whereat she leaps that was but late forlorn.,172,1034
"As falcon to the lure, away she flies;",173,1035
"The grass stoops not, she treads on it so light;",173,1036
And in her haste unfortunately spies,173,1037
The foul boar's conquest on her fair delight;,173,1038
"Which seen, her eyes, as murder'd with the view,",173,1039
"Like stars ashamed of day, themselves withdrew;",173,1040
"Or, as the snail, whose tender horns being hit,",174,1041
"Shrinks backward in his shelly cave with pain,",174,1042
"And there, all smother'd up, in shade doth sit,",174,1043
Long after fearing to creep forth again;,174,1044
"So, at his bloody view, her eyes are fled",174,1045
Into the deep dark cabins of her head:,174,1046
Where they resign their office and their light,175,1047
To the disposing of her troubled brain;,175,1048
"Who bids them still consort with ugly night,",175,1049
And never wound the heart with looks again;,175,1050
"Who like a king perplexed in his throne,",175,1051
"By their suggestion gives a deadly groan,",175,1052
Whereat each tributary subject quakes;,176,1053
"As when the wind, imprison'd in the ground,",176,1054
"Struggling for passage, earth's foundation shakes,",176,1055
Which with cold terror doth men's minds confound.,176,1056
This mutiny each part doth so surprise,176,1057
That from their dark beds once more leap her eyes;,176,1058
"And, being open'd, threw unwilling light",177,1059
Upon the wide wound that the boar had trench'd,177,1060
In his soft flank; whose wonted lily white,177,1061
"With purple tears, that his wound wept, was drench'd:",177,1062
"No flower was nigh, no grass, herb, leaf, or weed,",177,1063
But stole his blood and seem'd with him to bleed.,177,1064
This solemn sympathy poor Venus noteth;,178,1065
Over one shoulder doth she hang her head;,178,1066
"Dumbly she passions, franticly she doteth;",178,1067
"She thinks he could not die, he is not dead:",178,1068
"Her voice is stopt, her joints forget to bow;",178,1069
Her eyes are mad that they have wept til now.,178,1070
"Upon his hurt she looks so steadfastly,",179,1071
That her sight dazzling makes the wound seem three;,179,1072
"And then she reprehends her mangling eye,",179,1073
That makes more gashes where no breach should be:,179,1074
"His face seems twain, each several limb is doubled;",179,1075
"For oft the eye mistakes, the brain being troubled.",179,1076
"'My tongue cannot express my grief for one,",180,1077
"And yet,' quoth she, 'behold two Adons dead!",180,1078
"My sighs are blown away, my salt tears gone,",180,1079
"Mine eyes are turn'd to fire, my heart to lead:",180,1080
"Heavy heart's lead, melt at mine eyes' red fire!",180,1081
So shall I die by drops of hot desire.,180,1082
"'Alas, poor world, what treasure hast thou lost!",181,1083
What face remains alive that's worth the viewing?,181,1084
Whose tongue is music now? what canst thou boast,181,1085
"Of things long since, or any thing ensuing?",181,1086
"The flowers are sweet, their colours fresh and trim;",181,1087
But true-sweet beauty lived and died with him.,181,1088
'Bonnet nor veil henceforth no creature wear!,182,1089
Nor sun nor wind will ever strive to kiss you:,182,1090
"Having no fair to lose, you need not fear;",182,1091
The sun doth scorn you and the wind doth hiss you:,182,1092
"But when Adonis lived, sun and sharp air",182,1093
"Lurk'd like two thieves, to rob him of his fair:",182,1094
"'And therefore would he put his bonnet on,",183,1095
Under whose brim the gaudy sun would peep;,183,1096
"The wind would blow it off and, being gone,",183,1097
Play with his locks: then would Adonis weep;,183,1098
"And straight, in pity of his tender years,",183,1099
They both would strive who first should dry his tears.,183,1100
'To see his face the lion walk'd along,184,1101
"Behind some hedge, because he would not fear him;",184,1102
"To recreate himself when he hath sung,",184,1103
The tiger would be tame and gently hear him;,184,1104
"If he had spoke, the wolf would leave his prey",184,1105
And never fright the silly lamb that day.,184,1106
"'When he beheld his shadow in the brook,",185,1107
The fishes spread on it their golden gills;,185,1108
"When he was by, the birds such pleasure took,",185,1109
"That some would sing, some other in their bills",185,1110
Would bring him mulberries and ripe-red cherries;,185,1111
"He fed them with his sight, they him with berries.",185,1112
"'But this foul, grim, and urchin-snouted boar,",186,1113
"Whose downward eye still looketh for a grave,",186,1114
Ne'er saw the beauteous livery that he wore;,186,1115
Witness the entertainment that he gave:,186,1116
"If he did see his face, why then I know",186,1117
"He thought to kiss him, and hath kill'd him so.",186,1118
"''Tis true, 'tis true; thus was Adonis slain:",187,1119
"He ran upon the boar with his sharp spear,",187,1120
"Who did not whet his teeth at him again,",187,1121
But by a kiss thought to persuade him there;,187,1122
"And nuzzling in his flank, the loving swine",187,1123
Sheathed unaware the tusk in his soft groin.,187,1124
"'Had I been tooth'd like him, I must confess,",188,1125
With kissing him I should have kill'd him first;,188,1126
"But he is dead, and never did he bless",188,1127
My youth with his; the more am I accurst.',188,1128
"With this, she falleth in the place she stood,",188,1129
And stains her face with his congealed blood.,188,1130
"She looks upon his lips, and they are pale;",189,1131
"She takes him by the hand, and that is cold;",189,1132
"She whispers in his ears a heavy tale,",189,1133
As if they heard the woeful words she told;,189,1134
"She lifts the coffer-lids that close his eyes,",189,1135
"Where, lo, two lamps, burnt out, in darkness lies;",189,1136
"Two glasses, where herself herself beheld",190,1137
"A thousand times, and now no more reflect;",190,1138
"Their virtue lost, wherein they late excell'd,",190,1139
And every beauty robb'd of his effect:,190,1140
"'Wonder of time,' quoth she, 'this is my spite,",190,1141
"That, thou being dead, the day should yet be light.",190,1142
"'Since thou art dead, lo, here I prophesy:",191,1143
Sorrow on love hereafter shall attend:,191,1144
"It shall be waited on with jealousy,",191,1145
"Find sweet beginning, but unsavoury end,",191,1146
"Ne'er settled equally, but high or low,",191,1147
That all love's pleasure shall not match his woe.,191,1148
"'It shall be fickle, false and full of fraud,",192,1149
Bud and be blasted in a breathing-while;,192,1150
"The bottom poison, and the top o'erstraw'd",192,1151
With sweets that shall the truest sight beguile:,192,1152
"The strongest body shall it make most weak,",192,1153
Strike the wise dumb and teach the fool to speak.,192,1154
"'It shall be sparing and too full of riot,",193,1155
Teaching decrepit age to tread the measures;,193,1156
"The staring ruffian shall it keep in quiet,",193,1157
"Pluck down the rich, enrich the poor with treasures;",193,1158
"It shall be raging-mad and silly-mild,",193,1159
"Make the young old, the old become a child.",193,1160
'It shall suspect where is no cause of fear;,194,1161
It shall not fear where it should most mistrust;,194,1162
"It shall be merciful and too severe,",194,1163
And most deceiving when it seems most just;,194,1164
"Perverse it shall be where it shows most toward,",194,1165
"Put fear to valour, courage to the coward.",194,1166
"'It shall be cause of war and dire events,",195,1167
And set dissension 'twixt the son and sire;,195,1168
"Subject and servile to all discontents,",195,1169
As dry combustious matter is to fire:,195,1170
"Sith in his prime Death doth my love destroy,",195,1171
They that love best their loves shall not enjoy.',195,1172
"By this, the boy that by her side lay kill'd",196,1173
"Was melted like a vapour from her sight,",196,1174
"And in his blood that on the ground lay spill'd,",196,1175
"A purple flower sprung up, chequer'd with white,",196,1176
Resembling well his pale cheeks and the blood,196,1177
Which in round drops upon their whiteness stood.,196,1178
"She bows her head, the new-sprung flower to smell,",197,1179
"Comparing it to her Adonis' breath,",197,1180
"And says, within her bosom it shall dwell,",197,1181
Since he himself is reft from her by death:,197,1182
"She crops the stalk, and in the breach appears",197,1183
"Green dropping sap, which she compares to tears.",197,1184
"'Poor flower,' quoth she, 'this was thy fathers guise--",198,1185
Sweet issue of a more sweet-smelling sire--,198,1186
For every little grief to wet his eyes:,198,1187
"To grow unto himself was his desire,",198,1188
"And so 'tis thine; but know, it is as good",198,1189
To wither in my breast as in his blood.,198,1190
"'Here was thy father's bed, here in my breast;",199,1191
"Thou art the next of blood, and 'tis thy right:",199,1192
"Lo, in this hollow cradle take thy rest,",199,1193
My throbbing heart shall rock thee day and night:,199,1194
There shall not be one minute in an hour,199,1195
Wherein I will not kiss my sweet love's flower.',199,1196
"Thus weary of the world, away she hies,",200,1197
And yokes her silver doves; by whose swift aid,200,1198
Their mistress mounted through the empty skies,200,1199
In her light chariot quickly is convey'd;,200,1200
"Holding their course to Paphos, where their queen",200,1201
Means to immure herself and not be seen.,200,1202
