act,scene,character,dialogue,line_number
Act I,Scene I,Bastard,A half-faced groat five hundred pound a year!,95
Act I,Scene I,Robert,"My gracious liege, when that my father lived,",96
Act I,Scene I,Robert,"Your brother did employ my father much,--",97
Act I,Scene I,Bastard,"Well, sir, by this you cannot get my land:",98
Act I,Scene I,Bastard,Your tale must be how he employ'd my mother.,99
Act I,Scene I,Robert,And once dispatch'd him in an embassy,100
Act I,Scene I,Robert,"To Germany, there with the emperor",101
Act I,Scene I,Robert,To treat of high affairs touching that time.,102
Act I,Scene I,Robert,The advantage of his absence took the king,103
Act I,Scene I,Robert,And in the mean time sojourn'd at my father's;,104
Act I,Scene I,Robert,"Where how he did prevail I shame to speak,",105
Act I,Scene I,Robert,But truth is truth: large lengths of seas and shores,106
Act I,Scene I,Robert,"Between my father and my mother lay,",107
Act I,Scene I,Robert,"As I have heard my father speak himself,",108
Act I,Scene I,Robert,When this same lusty gentleman was got.,109
Act I,Scene I,Robert,Upon his death-bed he by will bequeath'd,110
Act I,Scene I,Robert,"His lands to me, and took it on his death",111
Act I,Scene I,Robert,That this my mother's son was none of his;,112
Act I,Scene I,Robert,"And if he were, he came into the world",113
Act I,Scene I,Robert,Full fourteen weeks before the course of time.,114
Act I,Scene I,Robert,"Then, good my liege, let me have what is mine,",115
Act I,Scene I,Robert,"My father's land, as was my father's will.",116
Act I,Scene I,King John,"Sirrah, your brother is legitimate;",117
Act I,Scene I,King John,"Your father's wife did after wedlock bear him,",118
Act I,Scene I,King John,"And if she did play false, the fault was hers;",119
Act I,Scene I,King John,Which fault lies on the hazards of all husbands,120
Act I,Scene I,King John,"That marry wives. Tell me, how if my brother,",121
Act I,Scene I,King John,"Who, as you say, took pains to get this son,",122
Act I,Scene I,King John,Had of your father claim'd this son for his?,123
Act I,Scene I,King John,"In sooth, good friend, your father might have kept",124
Act I,Scene I,King John,This calf bred from his cow from all the world;,125
Act I,Scene I,King John,"In sooth he might; then, if he were my brother's,",126
Act I,Scene I,King John,"My brother might not claim him; nor your father,",127
Act I,Scene I,King John,"Being none of his, refuse him: this concludes;",128
Act I,Scene I,King John,My mother's son did get your father's heir;,129
Act I,Scene I,King John,Your father's heir must have your father's land.,130
Act I,Scene I,Robert,Shall then my father's will be of no force,131
Act I,Scene I,Robert,To dispossess that child which is not his?,132
Act I,Scene I,Bastard,"Of no more force to dispossess me, sir,",133
Act I,Scene I,Bastard,"Than was his will to get me, as I think.",134
Act I,Scene I,Queen Elinor,Whether hadst thou rather be a Faulconbridge,135
Act I,Scene I,Queen Elinor,"And like thy brother, to enjoy thy land,",136
Act I,Scene I,Queen Elinor,"Or the reputed son of Coeur-de-lion,",137
Act I,Scene I,Queen Elinor,Lord of thy presence and no land beside?,138
Act I,Scene I,Bastard,"Madam, an if my brother had my shape,",139
Act I,Scene I,Bastard,"And I had his, sir Robert's his, like him;",140
Act I,Scene I,Bastard,"And if my legs were two such riding-rods,",141
Act I,Scene I,Bastard,"My arms such eel-skins stuff'd, my face so thin",142
Act I,Scene I,Bastard,That in mine ear I durst not stick a rose,143
Act I,Scene I,Bastard,"Lest men should say 'Look, where three-farthings goes!'",144
Act I,Scene I,Bastard,"And, to his shape, were heir to all this land,",145
Act I,Scene I,Bastard,"Would I might never stir from off this place,",146
Act I,Scene I,Bastard,I would give it every foot to have this face;,147
Act I,Scene I,Bastard,I would not be sir Nob in any case.,148
Act I,Scene I,Queen Elinor,"I like thee well: wilt thou forsake thy fortune,",149
Act I,Scene I,Queen Elinor,Bequeath thy land to him and follow me?,150
Act I,Scene I,Queen Elinor,I am a soldier and now bound to France.,151
Act I,Scene I,Bastard,"Brother, take you my land, I'll take my chance.",152
Act I,Scene I,Bastard,"Your face hath got five hundred pound a year,",153
Act I,Scene I,Bastard,Yet sell your face for five pence and 'tis dear.,154
Act I,Scene I,Bastard,"Madam, I'll follow you unto the death.",155
Act I,Scene I,Queen Elinor,"Nay, I would have you go before me thither.",156
Act I,Scene I,Bastard,Our country manners give our betters way.,157
Act I,Scene I,King John,What is thy name?,158
Act I,Scene I,Bastard,"Philip, my liege, so is my name begun,",159
Act I,Scene I,Bastard,"Philip, good old sir Robert's wife's eldest son.",160
Act I,Scene I,King John,From henceforth bear his name whose form thou bear'st:,161
Act I,Scene I,King John,"Kneel thou down Philip, but rise more great,",162
Act I,Scene I,King John,Arise sir Richard and Plantagenet.,163
Act I,Scene I,Bastard,"Brother by the mother's side, give me your hand:",164
Act I,Scene I,Bastard,"My father gave me honour, yours gave land.",165
Act I,Scene I,Bastard,"Now blessed by the hour, by night or day,",166
Act I,Scene I,Bastard,"When I was got, sir Robert was away!",167
Act I,Scene I,Queen Elinor,The very spirit of Plantagenet!,168
Act I,Scene I,Queen Elinor,"I am thy grandam, Richard; call me so.",169
Act I,Scene I,Bastard,"Madam, by chance but not by truth; what though?",170
Act I,Scene I,Bastard,"Something about, a little from the right,",171
Act I,Scene I,Bastard,"In at the window, or else o'er the hatch:",172
Act I,Scene I,Bastard,"Who dares not stir by day must walk by night,",173
Act I,Scene I,Bastard,"And have is have, however men do catch:",174
Act I,Scene I,Bastard,"Near or far off, well won is still well shot,",175
Act I,Scene I,Bastard,"And I am I, howe'er I was begot.",176
Act I,Scene I,King John,"Go, Faulconbridge: now hast thou thy desire;",177
Act I,Scene I,King John,A landless knight makes thee a landed squire.,178
Act I,Scene I,King John,"Come, madam, and come, Richard, we must speed",179
Act I,Scene I,King John,"For France, for France, for it is more than need.",180
Act I,Scene I,Bastard,"Brother, adieu: good fortune come to thee!",181
Act I,Scene I,Bastard,For thou wast got i' the way of honesty.,182
Act I,Scene I,[stage direction],Exeunt all but BASTARD,NA
Act I,Scene I,Bastard,A foot of honour better than I was;,183
Act I,Scene I,Bastard,But many a many foot of land the worse.,184
Act I,Scene I,Bastard,"Well, now can I make any Joan a lady.",185
Act I,Scene I,Bastard,"'Good den, sir Richard!'--'God-a-mercy, fellow!'--",186
Act I,Scene I,Bastard,"And if his name be George, I'll call him Peter;",187
Act I,Scene I,Bastard,For new-made honour doth forget men's names;,188
Act I,Scene I,Bastard,'Tis too respective and too sociable,189
Act I,Scene I,Bastard,"For your conversion. Now your traveller,",190
Act I,Scene I,Bastard,"He and his toothpick at my worship's mess,",191
Act I,Scene I,Bastard,"And when my knightly stomach is sufficed,",192
Act I,Scene I,Bastard,Why then I suck my teeth and catechise,193
Act I,Scene I,Bastard,"My picked man of countries: 'My dear sir,'",194
Act I,Scene I,Bastard,"Thus, leaning on mine elbow, I begin,",195
Act I,Scene I,Bastard,'I shall beseech you'--that is question now;,196
Act I,Scene I,Bastard,And then comes answer like an Absey book:,197
Act I,Scene I,Bastard,"'O sir,' says answer, 'at your best command;",198
Act I,Scene I,Bastard,"At your employment; at your service, sir;'",199
Act I,Scene I,Bastard,"'No, sir,' says question, 'I, sweet sir, at yours:'",200
Act I,Scene I,Bastard,"And so, ere answer knows what question would,",201
Act I,Scene I,Bastard,"Saving in dialogue of compliment,",202
Act I,Scene I,Bastard,"And talking of the Alps and Apennines,",203
Act I,Scene I,Bastard,"The Pyrenean and the river Po,",204
Act I,Scene I,Bastard,It draws toward supper in conclusion so.,205
Act I,Scene I,Bastard,But this is worshipful society,206
Act I,Scene I,Bastard,"And fits the mounting spirit like myself,",207
Act I,Scene I,Bastard,For he is but a bastard to the time,208
Act I,Scene I,Bastard,That doth not smack of observation;,209
Act I,Scene I,Bastard,"And so am I, whether I smack or no;",210
Act I,Scene I,Bastard,"And not alone in habit and device,",211
Act I,Scene I,Bastard,"Exterior form, outward accoutrement,",212
Act I,Scene I,Bastard,But from the inward motion to deliver,213
Act I,Scene I,Bastard,"Sweet, sweet, sweet poison for the age's tooth:",214
Act I,Scene I,Bastard,"Which, though I will not practise to deceive,",215
Act I,Scene I,Bastard,"Yet, to avoid deceit, I mean to learn;",216
Act I,Scene I,Bastard,For it shall strew the footsteps of my rising.,217
Act I,Scene I,Bastard,But who comes in such haste in riding-robes?,218
Act I,Scene I,Bastard,What woman-post is this? hath she no husband,219
Act I,Scene I,Bastard,That will take pains to blow a horn before her?,220
Act I,Scene I,[stage direction],Enter LADY FAULCONBRIDGE and GURNEY,NA
Act I,Scene I,Bastard,"O me! it is my mother. How now, good lady!",221
Act I,Scene I,Bastard,What brings you here to court so hastily?,222
Act I,Scene I,Lady Faulconbridge,"Where is that slave, thy brother? where is he,",223
Act I,Scene I,Lady Faulconbridge,That holds in chase mine honour up and down?,224
Act I,Scene I,Bastard,My brother Robert? old sir Robert's son?,225
Act I,Scene I,Bastard,"Colbrand the giant, that same mighty man?",226
Act I,Scene I,Bastard,Is it sir Robert's son that you seek so?,227
Act I,Scene I,Lady Faulconbridge,"Sir Robert's son! Ay, thou unreverend boy,",228
Act I,Scene I,Lady Faulconbridge,Sir Robert's son: why scorn'st thou at sir Robert?,229
Act I,Scene I,Lady Faulconbridge,"He is sir Robert's son, and so art thou.",230
Act I,Scene I,Bastard,"James Gurney, wilt thou give us leave awhile?",231
Act I,Scene I,Gurney,"Good leave, good Philip.",232
Act I,Scene I,Bastard,"Philip! sparrow: James,",233
Act I,Scene I,Bastard,There's toys abroad: anon I'll tell thee more.,234
Act I,Scene I,[stage direction],Exit GURNEY,NA
Act I,Scene I,Bastard,"Madam, I was not old sir Robert's son:",235
Act I,Scene I,Bastard,Sir Robert might have eat his part in me,236
Act I,Scene I,Bastard,Upon Good-Friday and ne'er broke his fast:,237
Act I,Scene I,Bastard,"Sir Robert could do well: marry, to confess,",238
Act I,Scene I,Bastard,Could he get me? Sir Robert could not do it:,239
Act I,Scene I,Bastard,"We know his handiwork: therefore, good mother,",240
