act,scene,character,dialogue,line_number
Act I,Scene I,Don Pedro,"what you are, being a man. Truly, the lady fathers",96
Act I,Scene I,Don Pedro,"herself. Be happy, lady; for you are like an",97
Act I,Scene I,Don Pedro,honourable father.,98
Act I,Scene I,Benedick,"If Signior Leonato be her father, she would not",99
Act I,Scene I,Benedick,"have his head on her shoulders for all Messina, as",100
Act I,Scene I,Benedick,like him as she is.,101
Act I,Scene I,Beatrice,"I wonder that you will still be talking, Signior",102
Act I,Scene I,Beatrice,Benedick: nobody marks you.,103
Act I,Scene I,Benedick,"What, my dear Lady Disdain! are you yet living?",104
Act I,Scene I,Beatrice,Is it possible disdain should die while she hath,105
Act I,Scene I,Beatrice,such meet food to feed it as Signior Benedick?,106
Act I,Scene I,Beatrice,"Courtesy itself must convert to disdain, if you come",107
Act I,Scene I,Beatrice,in her presence.,108
Act I,Scene I,Benedick,Then is courtesy a turncoat. But it is certain I,109
Act I,Scene I,Benedick,"am loved of all ladies, only you excepted: and I",110
Act I,Scene I,Benedick,would I could find in my heart that I had not a hard,111
Act I,Scene I,Benedick,"heart; for, truly, I love none.",112
Act I,Scene I,Beatrice,A dear happiness to women: they would else have,113
Act I,Scene I,Beatrice,been troubled with a pernicious suitor. I thank God,114
Act I,Scene I,Beatrice,"and my cold blood, I am of your humour for that: I",115
Act I,Scene I,Beatrice,had rather hear my dog bark at a crow than a man,116
Act I,Scene I,Beatrice,swear he loves me.,117
Act I,Scene I,Benedick,God keep your ladyship still in that mind! so some,118
Act I,Scene I,Benedick,gentleman or other shall 'scape a predestinate,119
Act I,Scene I,Benedick,scratched face.,120
Act I,Scene I,Beatrice,"Scratching could not make it worse, an 'twere such",121
Act I,Scene I,Beatrice,a face as yours were.,122
Act I,Scene I,Benedick,"Well, you are a rare parrot-teacher.",123
Act I,Scene I,Beatrice,A bird of my tongue is better than a beast of yours.,124
Act I,Scene I,Benedick,"I would my horse had the speed of your tongue, and",125
Act I,Scene I,Benedick,"so good a continuer. But keep your way, i' God's",126
Act I,Scene I,Benedick,name; I have done.,127
Act I,Scene I,Beatrice,You always end with a jade's trick: I know you of old.,128
Act I,Scene I,Don Pedro,"That is the sum of all, Leonato. Signior Claudio",129
Act I,Scene I,Don Pedro,"and Signior Benedick, my dear friend Leonato hath",130
