line,stanza,line_number
"'But, ah, who ever shunn'd by precedent",23,156
The destined ill she must herself assay?,23,157
"Or forced examples, 'gainst her own content,",23,158
To put the by-past perils in her way?,23,159
Counsel may stop awhile what will not stay;,23,160
"For when we rage, advice is often seen",23,161
By blunting us to make our wits more keen.,23,162
"'Nor gives it satisfaction to our blood,",24,163
That we must curb it upon others' proof;,24,164
"To be forbod the sweets that seem so good,",24,165
For fear of harms that preach in our behoof.,24,166
"O appetite, from judgment stand aloof!",24,167
"The one a palate hath that needs will taste,",24,168
"Though Reason weep, and cry, 'It is thy last.'",24,169
"'For further I could say 'This man's untrue,'",25,170
And knew the patterns of his foul beguiling;,25,171
"Heard where his plants in others' orchards grew,",25,172
Saw how deceits were gilded in his smiling;,25,173
Knew vows were ever brokers to defiling;,25,174
"Thought characters and words merely but art,",25,175
And bastards of his foul adulterate heart.,25,176
"'And long upon these terms I held my city,",26,177
"Till thus he gan besiege me: 'Gentle maid,",26,178
"Have of my suffering youth some feeling pity,",26,179
And be not of my holy vows afraid:,26,180
That's to ye sworn to none was ever said;,26,181
"For feasts of love I have been call'd unto,",26,182
"Till now did ne'er invite, nor never woo.",26,183
''All my offences that abroad you see,27,184
"Are errors of the blood, none of the mind;",27,185
"Love made them not: with acture they may be,",27,186
Where neither party is nor true nor kind:,27,187
They sought their shame that so their shame did find;,27,188
"And so much less of shame in me remains,",27,189
By how much of me their reproach contains.,27,190
"''Among the many that mine eyes have seen,",28,191
"Not one whose flame my heart so much as warm'd,",28,192
"Or my affection put to the smallest teen,",28,193
Or any of my leisures ever charm'd:,28,194
"Harm have I done to them, but ne'er was harm'd;",28,195
"Kept hearts in liveries, but mine own was free,",28,196
"And reign'd, commanding in his monarchy.",28,197
"''Look here, what tributes wounded fancies sent me,",29,198
Of paled pearls and rubies red as blood;,29,199
Figuring that they their passions likewise lent me,29,200
"Of grief and blushes, aptly understood",29,201
In bloodless white and the encrimson'd mood;,29,202
"Effects of terror and dear modesty,",29,203
"Encamp'd in hearts, but fighting outwardly.",29,204
"''And, lo, behold these talents of their hair,",30,205
"With twisted metal amorously impleach'd,",30,206
